from,to,type
p1,p0,FOLLOWS
p2,p0,FOLLOWS
p2,p1,FOLLOWS
p3,p0,FOLLOWS
p3,p1,FOLLOWS
p3,p2,FOLLOWS
p4,p2,FOLLOWS
p4,p3,FOLLOWS
p4,p0,FOLLOWS
p4,p1,FOLLOWS
p5,p0,FOLLOWS
p5,p2,FOLLOWS
p5,p1,FOLLOWS
p5,p3,FOLLOWS
p6,p2,FOLLOWS
p6,p5,FOLLOWS
p6,p3,FOLLOWS
p6,p4,FOLLOWS
p7,p5,FOLLOWS
p7,p0,FOLLOWS
p7,p3,FOLLOWS
p7,p2,FOLLOWS
p8,p6,FOLLOWS
p8,p5,FOLLOWS
p8,p3,FOLLOWS
p8,p4,FOLLOWS
p9,p6,FOLLOWS
p9,p4,FOLLOWS
p9,p7,FOLLOWS
p9,p8,FOLLOWS
p10,p1,FOLLOWS
p10,p9,FOLLOWS
p10,p3,FOLLOWS
p10,p0,FOLLOWS
p11,p1,FOLLOWS
p11,p8,FOLLOWS
p11,p9,FOLLOWS
p11,p4,FOLLOWS
p12,p0,FOLLOWS
p12,p10,FOLLOWS
p12,p1,FOLLOWS
p12,p4,FOLLOWS
p13,p7,FOLLOWS
p13,p8,FOLLOWS
p13,p6,FOLLOWS
p13,p3,FOLLOWS
p14,p3,FOLLOWS
p14,p0,FOLLOWS
p14,p9,FOLLOWS
p14,p1,FOLLOWS
p15,p2,FOLLOWS
p15,p3,FOLLOWS
p15,p1,FOLLOWS
p15,p5,FOLLOWS
p16,p3,FOLLOWS
p16,p4,FOLLOWS
p16,p13,FOLLOWS
p16,p1,FOLLOWS
p17,p1,FOLLOWS
p17,p5,FOLLOWS
p17,p4,FOLLOWS
p17,p7,FOLLOWS
p18,p3,FOLLOWS
p18,p7,FOLLOWS
p18,p14,FOLLOWS
p18,p8,FOLLOWS
p19,p8,FOLLOWS
p19,p0,FOLLOWS
p19,p9,FOLLOWS
p19,p4,FOLLOWS
p20,p2,FOLLOWS
p20,p13,FOLLOWS
p20,p11,FOLLOWS
p20,p1,FOLLOWS
p21,p15,FOLLOWS
p21,p2,FOLLOWS
p21,p7,FOLLOWS
p21,p3,FOLLOWS
p22,p21,FOLLOWS
p22,p6,FOLLOWS
p22,p1,FOLLOWS
p22,p5,FOLLOWS
p23,p10,FOLLOWS
p23,p8,FOLLOWS
p23,p11,FOLLOWS
p23,p16,FOLLOWS
p24,p21,FOLLOWS
p24,p9,FOLLOWS
p24,p7,FOLLOWS
p24,p1,FOLLOWS
p25,p7,FOLLOWS
p25,p9,FOLLOWS
p25,p6,FOLLOWS
p25,p17,FOLLOWS
p26,p18,FOLLOWS
p26,p8,FOLLOWS
p26,p2,FOLLOWS
p26,p9,FOLLOWS
p27,p7,FOLLOWS
p27,p14,FOLLOWS
