id,label,age,region
p0,Person,54,east
p1,Person,69,west
p2,Person,28,east
p3,Person,34,west
p4,Person,69,east
p5,Person,46,central
p6,Person,49,north
p7,Person,20,north
p8,Person,30,south
p9,Person,35,north
p10,Person,23,central
p11,Person,46,west
p12,Person,60,north
p13,Person,51,central
p14,Person,61,south
p15,Person,43,east
p16,Person,65,central
p17,Person,28,west
p18,Person,30,west
p19,Person,25,central
p20,Person,70,central
p21,Person,20,west
p22,Person,19,south
p23,Person,51,south
p24,Person,41,south
p25,Person,50,east
p26,Person,31,north
p27,Person,20,east
p28,Person,72,central
p29,Person,71,east
p30,Person,50,central
p31,Person,21,north
p32,Person,66,west
p33,Person,44,central
p34,Person,37,central
p35,Person,56,west
p36,Person,26,south
p37,Person,52,west
p38,Person,44,east
p39,Person,26,east
p40,Person,44,north
p41,Person,70,east
p42,Person,40,south
p43,Person,63,west
p44,Person,28,north
p45,Person,58,east
p46,Person,35,central
p47,Person,33,east
p48,Person,66,south
p49,Person,51,east
p50,Person,55,west
p51,Person,70,east
p52,Person,70,west
p53,Person,34,west
p54,Person,68,central
p55,Person,71,west
p56,Person,49,north
p57,Person,67,central
p58,Person,60,south
p59,Person,38,north
p60,Person,61,east
p61,Person,59,central
p62,Person,31,central
p63,Person,19,west
p64,Person,26,north
p65,Person,47,central
p66,Person,64,south
p67,Person,30,central
p68,Person,52,south
p69,Person,33,central
p70,Person,29,central
p71,Person,46,east
p72,Person,76,central
p73,Person,44,east
p74,Person,39,east
p75,Person,21,central
p76,Person,53,east
p77,Person,52,north
p78,Person,40,west
p79,Person,20,east
p80,Person,25,west
p81,Person,18,central
p82,Person,51,west
p83,Person,76,central
p84,Person,77,north
p85,Person,37,central
p86,Person,27,south
p87,Person,55,south
p88,Person,62,north
p89,Person,71,east
p90,Person,45,east
p91,Person,56,west
p92,Person,53,north
p93,Person,52,east
p94,Person,21,north
p95,Person,56,north
p96,Person,62,west
p97,Person,52,east
p98,Person,60,west
p99,Person,53,south
p100,Person,38,central
p101,Person,37,central
p102,Person,54,central
p103,Person,36,east
p104,Person,55,south
p105,Person,52,central
p106,Person,69,east
p107,Person,55,east
p108,Person,37,north
p109,Person,59,north
p110,Person,38,south
p111,Person,29,south
p112,Person,28,west
p113,Person,40,north
p114,Person,69,north
p115,Person,49,west
p116,Person,31,central
p117,Person,37,south
p118,Person,32,east
p119,Person,42,central
p120,Person,20,north
p121,Person,40,central
p122,Person,35,east
p123,Person,25,central
p124,Person,55,central
p125,Person,45,east
p126,Person,46,east
p127,Person,25,north
p128,Person,71,south
p129,Person,18,central
p130,Person,18,central
p131,Person,59,west
p132,Person,40,north
p133,Person,30,north
p134,Person,75,central
p135,Person,22,west
p136,Person,21,central
p137,Person,31,east
p138,Person,54,west
p139,Person,43,west
p140,Person,70,central
p141,Person,57,east
p142,Person,73,central
p143,Person,47,west
p144,Person,21,central
p145,Person,40,south
p146,Person,33,north
p147,Person,45,south
p148,Person,70,west
p149,Person,76,south
p150,Person,29,west
p151,Person,72,east
p152,Person,21,west
p153,Person,32,north
p154,Person,69,central
p155,Person,21,west
p156,Person,54,west
p157,Person,55,east
p158,Person,23,central
p159,Person,68,south
p160,Person,50,north
p161,Person,49,north
p162,Person,77,west
p163,Person,71,central
p164,Person,52,east
p165,Person,47,west
p166,Person,26,south
p167,Person,63,south
p168,Person,46,south
p169,Person,76,north
p170,Person,22,south
p171,Person,35,west
p172,Person,69,central
p173,Person,21,east
p174,Person,76,south
p175,Person,56,central
p176,Person,66,central
p177,Person,20,south
p178,Person,31,west
p179,Person,76,south
p180,Person,37,north
p181,Person,68,west
p182,Person,31,central
p183,Person,72,central
p184,Person,71,east
p185,Person,41,north
p186,Person,20,north
p187,Person,47,south
p188,Person,46,east
p189,Person,48,west
p190,Person,37,south
p191,Person,49,east
p192,Person,19,south
p193,Person,55,east
p194,Person,59,central
p195,Person,52,south
p196,Person,26,east
p197,Person,32,west
p198,Person,45,north
p199,Person,31,east
p200,Person,67,west
p201,Person,74,west
p202,Person,25,central
p203,Person,54,central
p204,Person,62,north
p205,Person,21,east
p206,Person,21,central
p207,Person,65,west
p208,Person,47,south
p209,Person,56,west
p210,Person,20,north
p211,Person,62,central
p212,Person,77,east
p213,Person,29,west
p214,Person,63,north
p215,Person,22,north
p216,Person,43,east
p217,Person,72,central
p218,Person,30,north
p219,Person,28,central
p220,Person,48,central
p221,Person,23,central
p222,Person,62,east
p223,Person,65,east
p224,Person,29,east
p225,Person,75,south
p226,Person,27,east
p227,Person,36,east
p228,Person,24,central
p229,Person,73,east
p230,Person,62,east
p231,Person,73,west
p232,Person,52,west
p233,Person,38,central
p234,Person,75,west
p235,Person,34,central
p236,Person,29,south
p237,Person,30,central
p238,Person,48,north
p239,Person,23,central
p240,Person,36,north
p241,Person,45,south
p242,Person,60,north
p243,Person,70,west
p244,Person,29,north
p245,Person,48,north
p246,Person,74,east
p247,Person,28,central
p248,Person,35,west
p249,Person,68,central
p250,Person,48,east
p251,Person,19,west
p252,Person,57,south
p253,Person,45,north
p254,Person,19,north
p255,Person,33,south
p256,Person,59,south
p257,Person,74,north
p258,Person,21,east
p259,Person,67,east
p260,Person,61,west
p261,Person,32,west
p262,Person,66,west
p263,Person,29,west
p264,Person,55,north
p265,Person,29,central
p266,Person,37,north
p267,Person,54,central
p268,Person,39,west
p269,Person,61,east
p270,Person,73,west
p271,Person,41,central
p272,Person,48,south
p273,Person,50,north
p274,Person,73,east
p275,Person,65,east
p276,Person,72,east
p277,Person,45,south
p278,Person,61,north
p279,Person,24,south
p280,Person,67,north
p281,Person,75,north
p282,Person,69,south
p283,Person,70,central
p284,Person,29,west
p285,Person,50,south
p286,Person,58,west
p287,Person,23,south
p288,Person,24,central
p289,Person,68,central
p290,Person,29,east
p291,Person,34,west
p292,Person,29,east
p293,Person,52,north
p294,Person,61,west
p295,Person,26,central
p296,Person,35,east
p297,Person,34,central
p298,Person,63,south
p299,Person,58,west
p300,Person,54,west
p301,Person,76,south
p302,Person,46,north
p303,Person,54,north
p304,Person,43,north
p305,Person,51,north
p306,Person,26,south
p307,Person,56,central
p308,Person,32,east
p309,Person,75,north
p310,Person,24,east
p311,Person,75,central
p312,Person,66,south
p313,Person,47,central
p314,Person,18,north
p315,Person,71,south
p316,Person,35,central
p317,Person,33,north
p318,Person,39,central
p319,Person,35,north
p320,Person,73,east
p321,Person,28,east
p322,Person,18,south
p323,Person,40,south
p324,Person,37,north
p325,Person,48,south
p326,Person,56,east
p327,Person,50,central
p328,Person,68,north
p329,Person,45,central
p330,Person,76,north
p331,Person,46,south
p332,Person,20,central
p333,Person,24,west
p334,Person,31,north
p335,Person,70,north
p336,Person,31,central
p337,Person,26,central
p338,Person,66,central
p339,Person,18,west
p340,Person,28,central
p341,Person,29,south
p342,Person,26,south
p343,Person,71,east
p344,Person,29,central
p345,Person,59,north
p346,Person,44,east
p347,Person,75,central
p348,Person,29,central
p349,Person,54,south
p350,Person,59,west
p351,Person,23,south
p352,Person,64,north
p353,Person,24,west
p354,Person,20,west
p355,Person,58,north
p356,Person,67,south
p357,Person,22,west
p358,Person,61,west
p359,Person,28,central
p360,Person,19,south
p361,Person,43,west
p362,Person,23,north
p363,Person,37,east
p364,Person,59,south
p365,Person,23,north
p366,Person,26,central
p367,Person,69,east
p368,Person,65,east
p369,Person,68,west
p370,Person,56,north
p371,Person,61,south
p372,Person,20,north
p373,Person,36,east
p374,Person,25,south
p375,Person,28,south
p376,Person,67,north
p377,Person,67,east
p378,Person,60,west
p379,Person,69,south
p380,Person,36,central
p381,Person,40,east
p382,Person,66,north
p383,Person,54,north
p384,Person,24,south
p385,Person,42,west
p386,Person,23,east
p387,Person,62,south
p388,Person,56,north
p389,Person,75,north
p390,Person,32,west
p391,Person,60,central
p392,Person,49,east
p393,Person,52,central
p394,Person,41,south
p395,Person,77,south
p396,Person,37,south
p397,Person,41,north
p398,Person,35,east
p399,Person,52,central
p400,Person,69,south
p401,Person,42,north
p402,Person,36,west
p403,Person,18,central
p404,Person,53,north
p405,Person,74,east
p406,Person,48,south
p407,Person,67,south
p408,Person,76,north
p409,Person,72,central
p410,Person,40,south
p411,Person,49,south
p412,Person,41,central
p413,Person,66,central
p414,Person,68,central
p415,Person,43,north
p416,Person,70,north
p417,Person,26,west
p418,Person,37,west
p419,Person,30,central
p420,Person,31,south
p421,Person,75,north
p422,Person,49,north
p423,Person,38,west
p424,Person,60,south
p425,Person,22,west
p426,Person,36,north
p427,Person,64,north
p428,Person,74,central
p429,Person,60,east
p430,Person,55,central
p431,Person,19,south
p432,Person,61,east
p433,Person,40,west
p434,Person,24,central
p435,Person,49,west
p436,Person,48,south
p437,Person,55,west
p438,Person,33,north
p439,Person,31,west
p440,Person,67,south
p441,Person,44,west
p442,Person,67,north
p443,Person,37,south
p444,Person,46,central
p445,Person,44,east
p446,Person,37,north
p447,Person,32,east
p448,Person,46,central
p449,Person,22,east
p450,Person,19,west
p451,Person,49,east
p452,Person,74,central
p453,Person,48,south
p454,Person,64,east
p455,Person,33,central
p456,Person,38,south
p457,Person,24,north
p458,Person,18,west
p459,Person,55,central
p460,Person,35,east
p461,Person,36,south
p462,Person,49,west
p463,Person,28,west
p464,Person,63,north
p465,Person,55,north
p466,Person,20,west
p467,Person,72,central
p468,Person,46,central
p469,Person,77,west
p470,Person,69,north
p471,Person,76,east
p472,Person,75,west
p473,Person,53,south
p474,Person,74,east
p475,Person,32,east
p476,Person,42,south
p477,Person,63,east
p478,Person,34,central
p479,Person,45,west
p480,Person,42,east
p481,Person,35,west
p482,Person,21,central
p483,Person,74,south
p484,Person,42,central
p485,Person,57,central
p486,Person,75,north
p487,Person,69,east
p488,Person,22,west
p489,Person,50,central
p490,Person,33,west
p491,Person,38,west
p492,Person,47,east
p493,Person,25,north
p494,Person,42,central
p495,Person,25,east
p496,Person,53,south
p497,Person,65,east
p498,Person,58,west
p499,Person,33,west
p500,Person,54,south
p501,Person,46,north
p502,Person,66,south
p503,Person,73,central
p504,Person,28,north
p505,Person,38,north
p506,Person,35,north
p507,Person,67,west
p508,Person,43,west
p509,Person,53,south
p510,Person,77,west
p511,Person,50,west
p512,Person,57,central
p513,Person,45,east
p514,Person,73,south
p515,Person,36,central
p516,Person,23,west
p517,Person,39,central
p518,Person,38,south
p519,Person,50,east
p520,Person,38,central
p521,Person,55,south
p522,Person,28,west
p523,Person,48,north
p524,Person,38,east
p525,Person,61,north
p526,Person,74,central
p527,Person,31,central
p528,Person,60,north
p529,Person,33,central
p530,Person,70,central
